School_Name,ELA Math Science_# ELA Proficiency,SAT_SAT Reading Average Score,SAT_SAT Math Average Score,ISA_# ISA Proficiency Total Student,Latitude,Longitude
Cook Elem School,18.0,,,18.0,41.7458392,-87.6599833
Coonley Elem School,382.0,,,166.0,41.9554822,-87.6839294
Cooper Elem Dual Language Academy,38.0,,,35.0,41.8562196,-87.66722779999999
Corkery Elem School,23.0,,,13.0,41.8456066,-87.7321396
Crown Elem Comm Acd Fine Arts Ctr,19.0,,,11.0,41.8781136,-87.6297982
Darwin Elem School,65.0,,,30.0,41.8781136,-87.6297982
Davis N Elem School,19.0,,,35.0,41.8781136,-87.6297982
Asian Human Services -Passage Chrtr,36.0,,,21.0,41.990808,-87.69052490000001
Dawes Elem School,128.0,,,83.0,41.7453732,-87.71803129999999
Deneen Elem School,34.0,,,13.0,41.7624357,-87.623708
Dett Elem School,1.0,,,2.0,41.8797104,-87.6804568
Chopin Elem School,21.0,,,14.0,41.8967965,-87.6885788
Dever Elem School,105.0,,,65.0,41.9425567,-87.81359049999999
Dewey Elem Academy of Fine Arts,21.0,,,10.0,41.7959743,-87.64230529999999
Disney Elem Magnet School,357.0,,,169.0,41.8781136,-87.6297982
Dixon Elem School,141.0,,,63.0,41.74333,-87.6105986
Dore Elem School,120.0,,,68.0,41.7743673,-87.7998245
Drake Elem School,21.0,,,5.0,41.8437356,-87.6287219
Drummond Elem School,59.0,,,25.0,41.8781136,-87.6297982
Dubois Elem School,8.0,,,7.0,41.653971,-87.61423270000002
Dulles Elem School,17.0,,,9.0,41.7799361,-87.616755
Dunne Technology Acad Elem Sch,40.0,,,15.0,41.6962804,-87.63969039999999
Dvorak Technology Acad Elem Sch,14.0,,,11.0,41.8781136,-87.6297982
Chicago Math & Sci Elem Charter,88.0,464.8,474.6,83.0,42.0134326,-87.67515039999999
Earle Elem School,12.0,,,10.0,41.8781136,-87.6297982
Eberhart Elem School,73.0,,,79.0,41.774628,-87.70833510000001
Ebinger Elem School,283.0,,,118.0,42.0046648,-87.810844
Edgebrook Elem School,188.0,,,60.0,41.9997272,-87.7607268
Edison Elem Regional Gifted Cntr,158.0,,,53.0,41.9711538,-87.7095999
Edwards Elem School,87.0,,,109.0,41.8053759,-87.72553649999999
Ellington Elem School,25.0,,,13.0,41.8853859,-87.76621870000001
Namaste Elem Charter School,21.0,,,21.0,41.8781136,-87.6297982
Ericson Elem Scholastic Academy,37.0,,,19.0,41.8758977,-87.7162566
Esmond Elem School,22.0,,,16.0,41.6893002,-87.6693387
Everett Elem School,24.0,,,9.0,41.8317383,-87.68108219999999
Evers Elem School,22.0,,,15.0,41.71564499999999,-87.63905729999999
Falconer Elem School,102.0,,,43.0,41.8781136,-87.6297982
Faraday Elem School,13.0,,,6.0,41.87978390000001,-87.70827469999999
Farnsworth Elem School,110.0,,,54.0,41.9797454,-87.7662909
Erie Elem Charter School,37.0,,,10.0,41.906863,-87.6943513
Fernwood Elem School,39.0,,,9.0,41.7110985,-87.6401271
Field Elem School,23.0,,,23.0,41.8781136,-87.6297982
Fiske Elem School,16.0,,,18.0,41.7852002,-87.60899529999999
Fort Dearborn Elem School,36.0,,,13.0,41.7298949,-87.65509250000001
Franklin Elem Fine Arts Center,132.0,,,51.0,41.9812253,-87.719237
Fuller Elem School,41.0,,,18.0,41.81806,-87.61233659999999
Fulton Elem School,29.0,,,20.0,41.8781136,-87.6297982
Funston Elem School,26.0,,,25.0,41.9175426,-87.7173127
Gale Elem Community Academy,12.0,,,8.0,42.0207515,-87.6712414
Gallistel Elem Language Academy,60.0,,,53.0,41.7069026,-87.534939
Garvy  J Elem School,194.0,,,100.0,41.9762615,-87.79592989999999
Gary Elem School,159.0,,,71.0,41.83787969999999,-87.7187629
Legacy Elem Charter School,53.0,,,23.0,41.8781136,-87.6297982
Goethe Elem School,112.0,,,44.0,41.9227455,-87.69318919999999
Owens Community Academy ES,36.0,,,11.0,41.8781136,-87.6297982
Goudy Technology Academy,95.0,,,55.0,41.9759442,-87.6580331
Graham  A Elem School,13.0,,,10.0,41.8781136,-87.6297982
Gray Elem School,147.0,,,95.0,41.8781136,-87.6297982
Greeley Elem School,83.0,,,50.0,41.9529857,-87.6508832
Greene N Elem School,32.0,,,19.0,41.8297009,-87.6712912
Gregory Math & Sci Elem Academy,37.0,,,8.0,41.8781136,-87.6297982
Gresham Elem School,33.0,,,7.0,41.8781136,-87.6297982
Grimes Elem School,83.0,,,33.0,41.7756581,-87.7584153
Haines Elem School,201.0,,,94.0,41.8497616,-87.63380149999999
Gillespie Elem School,20.0,,,18.0,41.7251984,-87.6231392
Hale Elem School,186.0,,,110.0,41.7804544,-87.7769521
Hamilton Elem School,180.0,,,64.0,41.9454775,-87.6706494
Hamline Elem School,19.0,,,11.0,41.8073045,-87.6610101
Hammond Elem School,19.0,,,19.0,41.8525332,-87.6958882
Bret Harte Elem School,40.0,,,19.0,41.793763,-87.5868694
Harvard Elem School,17.0,,,14.0,41.7575256,-87.6323302
Haugan Elem School,83.0,,,41.0,41.9637412,-87.7235067
Hawthorne Elem Scholastic Academy,339.0,,,114.0,41.8781136,-87.6297982
Providence-Englewood Elem Charter,28.0,,,36.0,41.7752003,-87.6637159
Hayt Elem School,150.0,,,80.0,41.9946092,-87.668722
Healy Elem School,481.0,,,230.0,41.8394087,-87.6407608
Hearst Elem School,15.0,,,16.0,41.808523,-87.74614799999999
Hedges Elem School,22.0,,,23.0,41.8781136,-87.6297982
Hefferan Elem School,24.0,,,13.0,41.8785148,-87.7359243
Henderson Elem School,8.0,,,4.0,41.8781136,-87.6297982
Hendricks Elem Community Academy,22.0,,,8.0,41.8781136,-87.6297982
Henry Elem School,44.0,,,33.0,41.8781136,-87.6297982
