"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Chicago HS for Agricult Sciences",0.3,5,"MOUNT GREENWOOD",54,492.6,453.4,86,41.690225,-87.7176465
"Chicago HS for the Arts",0.5,12,"WESTERN",54,500.6,446.6,89,41.8994827,-87.6950336
"Chicago Math & Sci Elem Charter",0.1,3,"TOUHY (PATRICK)",88,464.8,474.6,83,42.0134326,-87.6751504
"Chicago Military Academy HS",0.4,8,"ANDERSON (LOUIS)",3,446.5,409.8,9,41.8303817,-87.6191728
"Chicago Technology Academy HS",0.2,4,"PRITZKER",2,398.2,374.3,7,41.8781136,-87.6297982
"Chicago Vocational Career Acad HS",0.2,5,"OWENS (JESSE)",6,394.8,374.3,9,41.7377229,-87.5729254
"Chicago World Language Academy",0.3,8,"ARRIGO (VICTOR)",132,NA,NA,54,41.8747919,-87.6612967
"Chopin Elem School",0.2,4,"WESTERN",21,NA,NA,14,41.8967965,-87.6885788
"Christopher Elem School",0.2,4,"PRITZKER",17,NA,NA,19,41.8781136,-87.6297982
"Christopher House Chrt ES",0.2,4,"PRITZKER",55,NA,NA,39,41.8781136,-87.6297982
"CICS - Avalon/South Shore",0.5,10,"ROSENBLUM (J. LESLIE)",107,NA,NA,24,41.7589929,-87.5700257
"CICS - Basil Campus",0.6,14,"HERMITAGE",85,NA,NA,36,41.7941213,-87.6702102
"CICS - Bond Campus",0.4,10,"CARVER (GEORGE WASHINGTON)",12,NA,NA,3,41.6532109,-87.6055395
"CICS - Bucktown Campus",0.3,7,"HOLSTEIN",62,NA,NA,38,41.9225216,-87.6813243
"CICS - Irving Park Campus",0.5,12,"ELSTON (DANIEL)",113,NA,NA,58,41.9506699,-87.7107644
"CICS - Longwood Campus",0.6,13,"BRAINERD",101,405,386.8,42,41.7203213,-87.6557986
"CICS - Loomis Primary Campus",0.7,17,"RIDGE PARK WETLANDS",NA,NA,NA,NA,41.7200257,-87.6569353
"CICS - Northtown  Campus",0.5,12,"NORTH PARK NATURE CENTER",31,444.5,433.1,24,41.9909405,-87.7282245
"CICS - Prairie Campus",0.4,9,"KENSINGTON",39,NA,NA,16,41.6844708,-87.6171892
"CICS - Ralph Ellison Campus",0.4,8,"DAWES (CHARLES)",0,388.6,358.8,4,41.7481405,-87.6689966
"CICS - Washington Pk Campus",0.2,5,"HARDING (GEORGE)",95,NA,NA,23,41.8039321,-87.6150162
"CICS - West Belden Campus",0.2,4,"AIELLO (JOHN)",57,NA,NA,24,41.921641,-87.776554
"CICS - Wrightwood",0.5,11,"HAYES (FRANCIS)",35,NA,NA,42,41.7451135,-87.6928694
"Claremont Academy Elem School",0.1,3,"OAKLEY",31,NA,NA,15,41.7777801,-87.6813355
"Clark  G R Elem School",1.0,23,"COLUMBUS (CHRISTOPHER)",23,NA,NA,14,41.867936,-87.7702113
"Clark Acad Prep Magnet High Schl",0.2,4,"PRITZKER",5,404.2,374.6,2,41.8781136,-87.6297982
"Clay Elem School",0.5,11,"MANN (JAMES)",56,NA,NA,33,41.6546178,-87.5440956
"Clemente Community Academy HS",0.3,7,"WESTERN",6,390.8,376.8,24,41.9026116,-87.6864154
"Cleveland Elem School",0.5,12,"SACRAMENTO",60,NA,NA,33,41.9516974,-87.7059845
"Clinton Elem School",0.2,4,"PRITZKER",150,NA,NA,67,41.8781136,-87.6297982
"Clissold Elem School",0.4,9,"CRESCENT",57,NA,NA,34,41.6934967,-87.6795349
"Colemon J Elem Academy",0.2,6,"COOPER (JACK)",27,NA,NA,19,41.6773755,-87.6570317
"Coles Elem Language Academy",0.6,13,"ECKERSALL (WALTER HERBERT)",14,NA,NA,7,41.7414615,-87.5657299
"Collins Academy High School",0.5,12,"DOUGLASS (ANNA & FREDERICK)",0,388.8,379.8,1,41.8640759,-87.7011184
"Columbia Explorers Elem Academy",1.0,21,"KELLY (EDWARD)",190,NA,NA,86,41.8109019,-87.7045572
"Columbus Elem School",0.2,4,"PRITZKER",39,NA,NA,24,41.8781136,-87.6297982
"Cook Elem School",0.3,8,"FOSTER (J. FRANK)",18,NA,NA,18,41.7458392,-87.6599833
"Coonley Elem School",0.5,12,"FILBERT",382,NA,NA,166,41.9554822,-87.6839294
"Cooper Elem Dual Language Academy",0.4,8,"HARRISON (CARTER)",38,NA,NA,35,41.8562196,-87.6672278
"Corkery Elem School",0.9,21,"PIOTROWSKI (LILLIAN)",23,NA,NA,13,41.8456066,-87.7321396
"Corliss High School",0.3,6,"GATELY (JAMES)",3,392.1,374.5,3,41.7066424,-87.6027457
"Courtenay Elem Language Arts Ctr",0.2,5,"BRONCHO BILLY",14,NA,NA,16,41.9621192,-87.6639745
"Crane Medical Prep HS",0.3,8,"TOUHY-HERBERT (JOHN, VICTOR)",3,428.8,399.5,13,41.8769747,-87.6832298
"Crown Elem Comm Acd Fine Arts Ctr",0.2,4,"PRITZKER",19,NA,NA,11,41.8781136,-87.6297982
