OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
24,68,Englewood,40222,30654,24369,9597,2.520891945,21054,1747,4476,4176,3024,4409,1720,1014,488,35.77669903,289,918,19241,144,462,20853,15971,8239,6186,2053,7732,5851,359,5492,3003,382,1834,177,96,206110,4287,3224,1212,384,13638,2764,4451,3859,955,1210,399,4630,2369,1266,419,359,64,24429.10448,15830.08606,9107,2186,6921,4345,13452,3387,367,4165,1822,940,318,2381,72,5.65482389,1127,2770,3855,5700,1947.461818,2546,4584,4495,1306,521,1524,542,103,17,99000,6414,1469,2469,1863,565,48,903.9421813,7445,2357,1662,6841,6420,2266,7448,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1454,959,803,782,684,1518,Health Care,Retail Trade,Other Service,Education,Accommodation and Food Service,883,195,127,108,91,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,3045,1183,552,361,97,Outside of Chicago,Englewood,Auburn Gresham,Greater Grand Crossing,South Shore,553,83,57,53,49,,,,8110.738691,,,,,,,,,,0,0,1,0,0,1,2.349709608,1966.3068,225.4787153,0.114671177,294.7067405,0.14987831,12.43410661,0.006323584,42.96398341,0.021850091,172.234183,0.087592731,16.78413472,0.008535868,758.0870596,0.385538543,0,0,43.81958794,0.022285224,399.7982886,0.20332447,4353,2125,1128,1501,4434,1663,4673,3063,105,390,2568,2913,342,857,1714,1245,601,354,290,783,651,93,39,20301,753,19307,1384,464,17923,801,4,50,71,0,0,18,80,360,178,347,39352,27,318,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.154492981,0.629388164,0.081601816,0,0.130927578,1,1,0.501077408
25,12,Forest Glen,18165,18508,19596,7021,2.785215781,20311,1488,3963,2467,4809,4029,2010,973,572,41.76218257,14766,2351,100,2566,528,20279,15537,10242,9768,474,5295,9626,1406,8220,5665,1017,1213,285,40,283700,266,2388,3307,1151,14146,734,2082,2027,844,4515,3944,488,912,808,666,1210,3028,132901.5544,64408.53109,7112,6428,684,243,7355,6389,363,289,50,103,70,91,0,7.472107438,409,746,4415,1785,1952.023756,163,1747,3197,1771,477,199,484,3005,2701,469555.8297,588,0,84,244,135,125,1358.333333,6761,258,351,6601,6419,511,8946,Education,Health Care,Professional,Public Administration,Retail Trade,1161,1132,952,815,703,4093,Health Care,Retail Trade,Professional,Construction,Education,1299,507,447,299,234,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3455,2348,604,490,241,Outside of Chicago,Forest Glen,Portage Park,West Ridge,Jefferson Park,2370,241,94,93,88,,,,15428.93242,,,,,,,,,,0,0,1,0,0.075104257,0.924895743,2.266355005,2046.163947,824.5909175,0.402993572,30.52306176,0.014917212,8.910442865,0.004354706,47.24396874,0.023089044,42.92637005,0.020978949,10.39108697,0.005078326,606.4509114,0.296384321,0,0,471.4327116,0.230398308,3.694476421,0.001805562,1578,2065,1166,2303,5454,195,1658,319,0,24,295,977,72,185,720,802,116,295,391,4891,3464,975,452,16440,3871,18823,5513,1837,13310,1650,755,243,213,153,255,789,1339,116,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,,,,,,,,0.902734051,0.979762068,0.648834408,0.839924839,0,0,0.122040211,1,1,0.362150764
26,37,Fuller Park,3420,2876,2567,1140,2.246491228,2288.722892,72.65060241,476.5542169,366.8915663,287.1927711,411.8915663,523.1927711,129.626506,20.72289157,44.00699301,76.84337349,320.5783133,1837.457831,16.84337349,37,2270.437632,1948.002356,783.5924617,536.1107185,247.4817432,1164.409894,479.6890459,21.86219081,457.8268551,277.2921084,68.30624264,98.606596,12.92108363,0.700824499,14467.57362,633.2378449,328.4283837,155.4283837,37.82325887,1561.554217,347.746988,587.6385542,370.7710843,87.8313253,117.1445783,50.42168675,776.0866808,224.5412262,50.16701903,27.2769556,72.85835095,6.342494715,16281.42219,14766.27199,1157.272727,211.3183521,943.8052434,440.8541226,1595.752809,234.494382,114.917603,462.5955056,169.8951311,24.07116105,14.77902622,561,14,4.939877511,89.24719101,285.7041199,705.0187266,515.7827715,1959.992631,627.2397004,268.4756554,527.8089888,125.2284644,47,125.9027484,78.06976744,7.236786469,1.162790698,133002.8432,930.9006342,426.858351,331.3911205,128.3298097,29.32135307,15,521.48844,911.5243129,200.5454545,245.7484144,873.5243129,829.5729387,283.7484144,890,Health Care,Administration,Accommodation and Food Service,Transportation,Retail Trade,172,97,90,77,77,1091,Manufacturing,Wholesale Trade,Health Care,Accommodation and Food Service,Retail Trade,410,292,169,123,81,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,297,163,79,61,20,Outside of Chicago,Gage Park,Roseland,South Shore,Auburn Gresham,494,27,27,25,22,,,,6843.537022,,,,,,,,,,0,0,1,0,0,1,3.320594271,457.2246356,27.56829869,0.060294867,26.61515451,0.058210237,1.302691371,0.002849128,17.58368654,0.038457435,20.66006788,0.045185815,35.78663586,0.078269264,262.7561498,0.574676274,0,0,12.81782569,0.028033979,52.13412528,0.114023001,629.2452431,267.9894292,112.6955603,147.3424947,487.0274841,115.9112051,670.2452431,608.9237845,45,181,382.9237845,325.4001314,44.52562418,122.346912,158.5275953,48.84165572,27.80486202,11.31406045,9.722733246,107.5367937,84.52890933,22.35085414,0.657030223,2136.40636,165.6984688,2224.856302,201.0789164,75.6171967,2023.777385,186.6030624,5.22614841,9.229681979,0,0,0,0,0,0.020023557,18,116,3225,6,55,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.19255084,0.622112689,0.394137263,0,0.320794524,1,1,0.493932487
27,63,Gage Park,39193,39894,39540,10353,3.816091954,35621,2627,8142,9011,6307,5452,2523,1163,396,31.22701149,1352,32369,1550,305,45,35563,27062,16058,13471,2576,11004,13131,284,12847,7340,2325,2512,574,96,446470,2076,3493,2902,1695,21786,6849,8557,3057,1083,1926,314,2823,2799,1613,1104,1124,703,43541.66667,17510.36394,10166,5513,4653,838,11004,5229,130,2893,1734,216,153,480,169,5.589578643,280,1003,4323,5398,1940.635308,1331,3770,3896,1055,952,1938,3327,178,70,175371.6745,4626,682,2242,1423,279,0,888.4615385,8345,1157,1821,8064,7567,2102,12116,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,1811,1447,1367,1329,1280,4099,Administration,Wholesale Trade,Accommodation and Food Service,Retail Trade,Other Service,1121,899,445,418,286,Outside of Chicago,The Loop,Near West Side,Near North Side,Gage Park,5347,1281,691,671,335,Outside of Chicago,Gage Park,Chicago Lawn,South Lawndale,New City,1698,335,172,108,102,,,,12981.61763,,,,,,,,,,0,0,1,0,0.023014156,0.976985844,0.858678154,1406.907752,406.9628106,0.289260479,155.5732524,0.110578147,18.07427078,0.012846806,65.91952217,0.046854189,97.82048946,0.069528716,131.7021958,0.09361111,471.8335905,0.335369245,0,0,25.59946512,0.018195553,33.42215501,0.023755754,2259,1898,1817,4192,7562,1196,2604,1547,206,151,1190,3881,550,995,2336,1613,590,446,577,2931,2428,417,86,21925,13696,32994,27674,12755,5320,27345,85,70,81,0,0,0,93,0,4811,31079,2743,161,399,,,,,,,,,,,,,,,,,,,,,,,,,0.999693228,0.807699638,0.135271747,0.732602687,0,0,0.100399809,1,1,0.438928955
28,56,Garfield Ridge,36101,34513,35439,12236,2.872589081,36704,2139,6815,6189,7834,7837,3559,1517,814,40.4355069,14668,20011,1392,427,206,36440,29323,19125,17759,1366,10198,17340,927,16413,12521,1975,1430,394,93,548355,979,4401,5153,2224,26017,4558,8547,4715,2137,3828,2232,1947,2110,1720,1616,2995,2369,84305.38366,34322.94845,12757,10907,1850,558,13315,11344,148,499,572,245,265,207,35,6.114355628,352,2090,9274,1599,1957.004426,583,2868,6893,2240,731,857,7627,2223,155,241296.7103,1526,58,483,732,235,18,1105.113636,11320,1336,1437,10862,10531,1895,15518,Education,Health Care,Public Administration,Manufacturing,Retail Trade,1835,1632,1613,1464,1397,14722,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,6083,2264,2087,1284,636,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,6714,3589,826,752,645,Outside of Chicago,Garfield Ridge,Clearing,Chicago Lawn,West Lawn,8237,645,303,243,224,,,,15833.24542,,,,,,,,,,0,0.007037704,0.992962296,0.03487013,0.000108225,0.965021645,1.765647927,2706.399862,1032.808664,0.381617173,59.34353809,0.021927114,14.66691799,0.005419346,100.5453989,0.037150977,55.4441347,0.020486306,114.8793388,0.04244729,1208.124369,0.44639537,0,0,44.18728542,0.016326961,76.40021546,0.028229463,3312,3703,2000,3742,8971,527,3786,1317,8,74,1235,2525,703,637,1185,1630,697,368,565,6858,4994,1546,318,27653,9051,34565,17959,6913,16606,13538,3493,223,26,122,45,39,422,51,24878,5948,4419,328,528,,,,,,,,,,,,,,,,,,,,,,,,,0.999233629,0.855137205,0.305690864,0.803220119,0.124895301,0,0.157238795,0.996318674,0.977557075,0.268231798
29,38,Grand Boulevard,28006,21929,24589,11278,2.160666785,24401,1489,4021,5619,4655,5113,2015,930,559,38.45199742,1065,805,21480,245,806,24136,20050,12879,10829,2020,7171,10359,1554,8805,5190,645,2401,376,193,292520,3715,5704,1735,665,17465,2079,3777,3556,1592,3980,2481,4319,2324,1425,1522,1288,941,40745.5157,31815.24905,11819,3397,8422,1340,13159,1413,689,913,2789,3294,887,3174,0,4.914936474,3648,2841,2386,4284,1968.829237,3600,3672,4082,1454,351,529,1488,791,589,255392.1569,8228,2307,1793,2391,1639,98,1002.861815,10503,1998,1316,9981,9527,1838,8549,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1684,1038,886,761,677,2788,Health Care,Management,Retail Trade,Accommodation and Food Service,Education,1003,489,346,252,150,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,2235,2076,859,695,275,Outside of Chicago,Grand Boulevard,South Shore,Auburn Gresham,Chatham,810,158,96,90,83,,,,10172.96245,,,,,,,,,,0,0,1,0,0,1,4.097221126,1113.234716,70.94984076,0.063733047,254.7754746,0.228860519,9.561312143,0.008588766,40.19297883,0.036104676,108.5317966,0.097492285,8.173338954,0.007341973,377.1735865,0.338808682,1.821291087,0.001636035,29.15040192,0.026185315,212.9046943,0.191248702,6035,2857,1536,1391,5063,1604,6756,3337,125,565,2647,2769,504,367,1898,1425,259,572,594,3751,2176,1141,434,23658,743,22912,1569,500,21343,899,58,47,25,53,5,1,228,253,173,236,27370,21,206,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.458754817,0.771235125,0.570168036,0,0.06947003,1,1,0.499297471
30,69,Greater Grand Crossing,38619,32602,31471,12756,2.427328316,29309,1979,6191,6096,4844,5657,2553,1165,824,36.19318182,295,660,27757,55,542,28795,22939,13161,10575,2586,9778,10358,779,9579,5153,720,3418,91,197,373345,4773,5657,1191,740,19485,2208,5858,5798,1524,2503,1594,5370,2608,1704,1211,1026,442,32380.11283,21158.9481,12361,4377,7984,3535,15896,4251,367,4199,2348,2963,569,1123,76,5.669252651,507,2087,4594,8708,1935.636197,2687,6398,4594,1579,638,1701,2208,309,128,165147.6252,7648,1134,3192,2629,692,1,947.4895397,10968,3111,1393,9594,9127,2767,9512,Health Care,Administration,Accommodation and Food Service,Education,Retail Trade,2021,1170,943,838,812,3050,Health Care,Education,Retail Trade,Wholesale Trade,Other Service,743,505,317,303,266,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3061,1885,826,578,213,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1060,150,124,122,121,,,,9013.396014,,,,,,,,,,0,0,1,0,0,1,1.337122793,2269.356432,371.6077431,0.163750276,326.4567352,0.143854324,21.14895954,0.009319364,77.0493356,0.033952064,256.0462966,0.112827713,38.85226931,0.017120391,992.6489096,0.43741428,0,0,36.18623429,0.015945593,149.3599483,0.065815994,5104,3714,1907,1636,6513,2859,5848,3397,46,301,3050,3585,500,718,2367,1689,568,709,412,2664,2148,364,152,28820,489,27330,851,330,26479,362,18,0,48,42,0,1,222,158,146,276,37779,26,392,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.267761766,0.721147628,0,0,0.12130167,1,1,0.482607851
31,55,Hegewisch,9781,9426,10027,3677,2.726679358,9318.60656,471.322686,1950.459337,1820.576592,1461.572801,2136.64643,860.9555862,420.4452811,196.6278471,39.61977462,3686.050684,4895.190409,711.5985612,0.766906475,25,9258.369096,7442.539479,4587.974541,4071.731249,516.1270867,2854.564938,3820.034852,287.5987445,3532.436108,2884.114369,185.1182748,365.4604511,38.31032318,59.43269007,132265.9418,439.1995986,1456.545372,1382.250805,524.7644278,6357.888654,823.9363608,2324.588958,1725.235499,446.6473654,572.2850001,465.1954702,1070.735855,653.2542128,707.077706,373.3437269,526.1654674,471.4647294,57685.95828,29265.81067,3802.041697,2525.233554,1276.536466,441.3837638,4243.140126,2964.472816,44.79776309,471.311279,456.4799768,50,30,69,157.0782918,5.863689935,254,411.1789091,1966.109318,1611.851899,1950.219335,604.1779359,739.0246641,2009.268298,757.4770572,133.1921708,1126.933426,1230.510055,128,31.01476015,154635.0446,1035.494895,26,401.5149754,475.5508918,132.4290283,0,1080.211334,3474.104151,438.0782595,327.9375461,3290.061747,3234.017466,511.9799508,3719,Education,Manufacturing,Health Care,Retail Trade,Public Administration,457,418,393,384,346,1663,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Finance,780,223,171,130,88,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1614,846,151,144,118,Outside of Chicago,Hegewisch,East Side,South Deering,South Chicago,1081,118,117,28,22,,,,16323.64898,,,,,,,,,,0.061247011,0.385598676,0.553154313,0.221751542,0.778248458,0,2.963929431,3350.912466,371.8946101,0.110983087,34.02265878,0.010153252,6.658624645,0.001987108,48.61414801,0.014507734,17.41745765,0.005197825,297.570464,0.088802816,1562.187148,0.46619754,0,0,615.8348376,0.183781237,396.712518,0.1183894,1487.691544,976.0015068,467.8627921,870.4858549,2266.246833,494.1211255,1535.794865,772.9124952,7.118081181,51.04428044,714.7501335,698.5978909,215.4261858,183.2920178,299.8796872,707.0757177,336.0208988,273.6712599,97.38355897,1371.887258,1164.369101,144.4652812,63.05287508,7924.065055,1401.3206,8853.888445,3456.310602,964.3132527,5397.577842,2983.465985,83.5,0,0,319,0,0.123529412,70.22108812,0,6553,2820,130,32,246,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.224013603,0.731050218,0.23292379,0,0.330919242,0.586291167,0.428320912,0.252348998
32,20,Hermosa,26908,25010,24062,7544,3.183589608,23201,1315,4761,5340,4783,4221,1829,627,325,35.54812834,2820,18400,876,843,262,23157,18603,12403,11800,591,6200,11514,663,10851,6978,1179,1988,488,218,377035,943,3043,2341,1115,15286,4277,4441,2612,796,2329,831,1344,1867,1465,910,1057,799,59788.86756,25169.3202,7442,3742,3700,624,8066,2412,103,2239,2059,774,377,89,13,5.695367573,176,523,1720,5647,1925.709226,1585,3008,1978,911,584,433,1882,1280,134,273279.9526,3515,78,1501,1614,277,45,1048.717249,6745,875,697,6430,6109,1012,8268,Manufacturing,Health Care,Accommodation and Food Service,Retail Trade,Administration,1060,1050,978,963,735,3916,Manufacturing,Construction,Retail Trade,Accommodation and Food Service,Wholesale Trade,2414,418,175,174,151,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3241,985,573,412,296,Outside of Chicago,Belmont Cragin,Hermosa,Austin,Logan Square,1812,257,204,120,114,,,,12551.10064,,,,,,,,,,0,0,1,0,0,1,0.704651419,748.4402979,167.1553208,0.223338216,145.9732031,0.195036536,14.59089053,0.019495063,26.54708722,0.03546988,19.96785555,0.02667929,110.2340438,0.147285019,245.5507015,0.328083218,0,0,15.52678082,0.020745517,2.894414632,0.003867262,1668,2066,1163,2545,5239,794,2203,938,0,35,903,1984,200,326,1458,1450,560,307,583,2713,1904,681,128,14957,8244,21886,16204,7623,5682,15276,218,9,285,80,0,127,195,14,3086,22574,649,319,280,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.248320835,0.820218542,0,0,0.075824075,1,1,0.361193776
33,23,Humboldt Park,65836,56323,54165,19072,2.821623322,55785,3412,12260,13256,12266,9441,3308,1338,504,33.82861991,5762,29530,18889,571,1033,55410,43263,28393,25371,3022,14870,24882,1794,23088,13605,2770,5007,1279,427,823545,4387,7868,4484,1823,36569,9052,10074,6847,2824,4124,3648,4801,5119,3204,1645,2117,1676,46785.71429,23192.99742,18562,7274,11288,1877,20439,4701,137,6664,5169,1905,798,1016,49,5.680321518,1284,2661,3662,12832,1929.820371,2843,7286,7283,1691,1336,1457,3634,1474,709,235172.4138,10739,812,2958,4660,2089,220,1136.662679,16810,2846,1752,15482,14689,3080,18825,Health Care,Accommodation and Food Service,Retail Trade,Administration,Manufacturing,2781,2226,2111,2067,1743,9046,Manufacturing,Health Care,Retail Trade,Administration,Wholesale Trade,1766,1161,970,932,670,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,7465,2378,1585,1117,1009,Outside of Chicago,Humboldt Park,Austin,West Town,Belmont Cragin,3621,447,356,271,253,,,,10856.03741,,,,,,,,,,0,0,1,0,0.009487751,0.990512249,1.973488936,2306.723511,280.8902972,0.121770249,423.751392,0.183702724,37.5813638,0.016292097,135.8150605,0.058877911,114.7881123,0.049762406,321.2170295,0.139252506,824.7088268,0.357523918,0,0,20.09955774,0.008713466,147.8718711,0.064104723,5042,5176,3200,5144,11897,3349,6665,3365,5,136,3224,5933,774,887,4272,3083,1030,916,1137,5328,3753,1295,280,45135,10650,52373,23729,9575,28644,22707,391,207,104,46,0,41,159,74,2184,31607,31207,239,599,,,,,,,,,,,,,,,,,,,,,,,,,0.99980292,0.943404797,0.252356357,0.771527673,0.210191415,0,0.094119742,1,1,0.422108426
34,41,Hyde Park,29920,25681,29456,14818,1.792077203,28801,807,4381,11170,4281,4075,2379,1196,512,30.81730769,13456,1972,7248,4068,2057,26281,25787,16826,15443,1360,8961,15029,2870,12159,3401,508,3439,4619,192,329040,5680,6749,1501,181,18779,646,993,1959,522,4782,9877,3639,2626,2012,1344,1890,2600,58518.31897,52253.17548,14111,4990,9121,1538,15649,809,1414,76,828,2967,1214,8341,0,4.601615327,695,2627,4122,8205,1937.681292,6723,3914,2914,1478,620,887,1484,1479,1046,308769.9317,9040,358,1996,3396,2527,763,1294.176707,13552,785,559,13333,12737,778,11543,Education,Health Care,Accommodation and Food Service,Professional,Administration,2815,2143,894,867,837,26071,Education,Health Care,Accommodation and Food Service,Retail Trade,Real Estate,12793,9976,1050,812,385,Hyde Park,Outside of Chicago,The Loop,Near North Side,Near West Side,3091,3052,2025,781,672,Outside of Chicago,Hyde Park,Kenwood,Near South Side,Lake View,10079,3091,852,737,674,,,,6659.22106,,,,,,,,,,0,0,1,0,0,1,14.23132451,1032.261863,97.911043,0.094850974,176.2249969,0.170717338,7.288354793,0.007060568,29.7627982,0.028832605,184.5682883,0.178799871,0,0,245.2181317,0.237554191,0,0,286.0307819,0.2770913,5.257467744,0.005093153,7439,3700,1785,1187,4508,560,9603,2179,53,70,2056,3179,158,395,2626,1982,402,946,634,5824,3973,1407,444,23295,5506,27994,7017,1957,20977,1416,352,1473,90,96,278,663,2271,378,13020,1230,11290,3366,1014,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.801450084,0.732601915,1,0.831632514,0.043310675,1,1,0.762973946
35,16,Irving Park,58643,53359,51940,21342,2.417861494,54280,3662,8863,12965,13714,9439,3548,1610,479,36.59852742,24627,21695,1700,4294,1964,53833,43715,32934,30818,2115,10781,30494,4681,25813,15339,2219,6483,1338,434,919615,2901,9747,7085,1744,38928,5275,7922,5744,2402,10902,6683,2831,3727,3712,2970,3786,4451,78943.60269,41955.6736,21477,11150,10327,1861,23338,6344,815,5126,3648,3566,1930,1855,54,5.571234274,2037,2267,4571,14463,1930.34087,4312,9457,5752,2518,1299,630,3199,3797,3498,375842.4508,10008,214,2431,4909,2247,207,1198.502188,20351,1631,1126,19386,18853,2091,23181,Health Care,Professional,Accommodation and Food Service,Retail Trade,Education,2905,2369,2308,2112,2036,10716,Wholesale Trade,Health Care,Retail Trade,Arts and Entertainment,Accommodation and Food Service,1781,1771,1135,997,948,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,8353,4310,2138,1415,714,Outside of Chicago,Irving Park,Belmont Cragin,Austin,Portage Park,4364,714,390,354,343,,,,11855.31149,,,,,,,,,,0,0,1,0,0,1,1.255109414,2057.194304,526.0790351,0.255726469,397.2258905,0.19309109,48.0294802,0.02334708,102.5136926,0.049831799,73.37288231,0.035666481,63.26194262,0.030751564,743.854874,0.361587076,0,0,94.3137782,0.045845829,8.542728665,0.004152611,6486,6905,3265,4821,12644,1448,8833,1671,12,58,1601,4429,221,819,3389,3659,714,1737,1208,11131,7015,2684,1432,39925,14355,50618,22913,9045,27705,15921,1621,139,1277,733,157,807,1954,304,25912,25401,1121,4362,1847,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.494797208,0.855120129,0,0,0.067236085,1,1,0.473652814
36,11,Jefferson Park,25859,25448,26216,10585,2.475578649,27172,1580,4717,5556,5813,5279,2337,1362,528,39.76098901,15550,6774,695,3258,895,27145,21999,15086,14234,852,6913,13587,1581,12006,8426,936,2278,242,124,417380,1162,4407,3931,1258,19829,1497,4668,3929,1500,5422,2813,1316,1792,1735,1590,2411,1914,83427.67296,39192.97078,10758,7057,3701,901,11659,5422,190,2321,1870,924,462,438,32,5.700070696,458,1784,5255,4162,1950.188193,1585,4752,3498,1425,399,491,2275,3722,526,326916.0915,3569,103,905,1797,689,75,1217.142058,9911,756,847,9313,9160,1445,12527,Health Care,Education,Retail Trade,Professional,Manufacturing,1539,1256,1244,1101,983,6209,Health Care,Real Estate,Manufacturing,Retail Trade,Administration,843,751,732,566,545,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5913,2314,709,495,323,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Dunning,3234,310,229,133,119,,,,13148.73075,,,,,,,,,,0,0,1,0,0.020650922,0.979349078,0.868193147,1489.168074,502.1744353,0.337218105,178.1063972,0.119601273,9.954676436,0.006684723,57.22440029,0.038427093,26.33663681,0.01768547,53.74381586,0.036089825,525.5369064,0.352906375,0,0,133.5204051,0.089661072,2.570400127,0.001726064,3203,3330,1652,2573,6631,737,4127,801,0,0,801,2131,201,380,1550,1720,428,430,862,5836,3904,1323,609,20265,6907,25592,10635,4391,14957,4188,2783,144,1140,466,98,640,1069,107,21101,2881,81,1237,559,,,,,,,,,,,,,,,,,,,,,,,,,0.975289982,0.997767145,0.478304845,0.84302704,0,0,0.091352619,1,1,0.357884116
